"value","se","ci","lower","upper","variable","model"
0.545464268806092,0.102249380858555,0.95,0.281157398146414,0.677268651430592,"r2 marginal","twoStepBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.0572446673252928,NA,0.95,1.53756708153485e-05,0.168865902758695,"tau2_sd_index_intercept","twoStepBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.852505782123002,0.0909313943296857,0.95,0.482098006923807,0.965224159675517,"r2 conditional","twoStepBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.868786279890666,0.0865643858344155,0.95,0.454767936780251,0.963761401506714,"r2 marginal","twoStepBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.018858447589594,NA,0.95,1.02748939213593e-05,0.0606295159223385,"tau2_sd_index_intercept","twoStepBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.790853862497074,0.0434044604610831,0.95,0.663025272667443,0.839932215264579,"r2 conditional","twoStepBrms_PYBI_H1_binary_PYBI_H1_binary"
0.790500335856897,0.0431591436895422,0.95,0.664054730073627,0.836765661764362,"r2 marginal","twoStepBrms_PYBI_H1_binary_PYBI_H1_binary"
0.0176784376604052,NA,0.95,6.65705095801279e-05,0.0531201203586242,"tau2_sd_index_intercept","twoStepBrms_PYBI_H1_binary_PYBI_H1_binary"
0.623588410137437,0.115271331682713,0.95,0.343011333579303,0.773735975138476,"r2 conditional","twoStepBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.633941424497566,0.121261751160809,0.95,0.317783360030212,0.775058648321676,"r2 marginal","twoStepBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.0917838196979524,NA,0.95,2.35958141758761e-05,0.281569279558837,"tau2_sd_index_intercept","twoStepBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.788689467798025,0.0290750883115426,0.95,0.724753440752402,0.834966443691385,"r2 conditional","twoStepBrms_BUCA_H1_binary_BUCA_H1_binary"
0.788523738335653,0.0292115884079256,0.95,0.726181013355743,0.831043750334226,"r2 marginal","twoStepBrms_BUCA_H1_binary_BUCA_H1_binary"
0.0444299677086898,NA,0.95,1.21498394307229e-05,0.132933119343907,"tau2_sd_index_intercept","twoStepBrms_BUCA_H1_binary_BUCA_H1_binary"
0.441367926518148,0.0614326334501536,0.95,0.30648494610862,0.544285852782467,"r2 conditional","twoStepBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.430755331926078,0.0646012290670874,0.95,0.286248067499578,0.542367285861591,"r2 marginal","twoStepBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.0419625067683728,NA,0.95,0.000432579311210443,0.12343651322956,"tau2_sd_index_intercept","twoStepBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.627713224457132,0.0418385043373477,0.95,0.526416282500917,0.689594295147666,"r2 conditional","twoStepBrms_BUFA_H1_binary_BUFA_H1_binary"
0.627334813836115,0.0419830205787029,0.95,0.523398763356219,0.687865854635865,"r2 marginal","twoStepBrms_BUFA_H1_binary_BUFA_H1_binary"
0.0371930087336522,NA,0.95,6.63337856874442e-05,0.109252068609189,"tau2_sd_index_intercept","twoStepBrms_BUFA_H1_binary_BUFA_H1_binary"
0.672416490852055,0.0987248698702367,0.95,0.42196853011499,0.804422760591182,"r2 conditional","twoStepBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.679767062319127,0.101009512444858,0.95,0.415670126754744,0.802367957763119,"r2 marginal","twoStepBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.17040942993065,NA,0.95,0.000103130315054498,0.521919134183172,"tau2_sd_index_intercept","twoStepBrms_BUFA_H1_continuous_BUFA_H1_continuous"
